dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,13,4.3,2.6,5.1,4.8,8.2,9.5,9.3,8,6.1,9.3,24
2,17.6,5.5,1.8,8.1,10.3,7.3,12.9,7.5,7.2,3.6,5.5,17.6
3,30.6,2.3,5.5,7.1,12.8,4.6,5.3,9.6,6.9,4.8,4.8,16.6
4,,1.7,7.1,5.7,12.6,4.8,7.3,11.1,11,3,3.4,20.3
5,4.2,2.3,3.7,4.2,11.7,5.3,11.9,8.5,10.5,4.3,6.1,17.3
6,2.8,14,5,3.7,12.8,4.6,26.5,6.8,10.6,7,4.3,25.8
7,3.2,14.1,11.3,6.4,6.7,3.5,53,6.3,13.4,7.5,11.4,29.7
8,13.6,9.3,6.8,3.8,12,4.5,38.4,6,14.4,6.8,9.3,16.5
9,14.7,14.3,3.1,5.5,11.2,,45.8,4.1,7.5,14,3.6,20.8
10,,16.9,9.9,5,9.9,,71.4,7.7,9.4,7.4,5.8,16.3
11,,6.8,6,7.5,8.1,2.6,23.9,15.5,11.5,6,15,39.8
12,,22.5,7.9,10,12,9.9,19.1,17.7,8.9,7.4,13.7,26.8
13,14.5,22,3.1,9.3,,11.8,13,21.3,9.5,4.6,6.1,5.6
14,,4.3,3.1,6.3,,11.2,12,16.5,11,10.6,5,7.9
15,,7.7,0.7,4.3,,7.9,12.5,10.1,12.6,17.9,9.8,6
16,,18.1,2.3,5.1,6.8,13.4,19.4,14.7,10.7,10.3,18.3,8.3
17,,21,4.8,5.9,5.9,10.8,11.9,6,7.8,13.9,8.8,9.6
18,,17.8,4,11.3,6.4,5.7,18.9,3.4,8.5,8.9,11.6,17.9
19,,8.4,6.6,9.6,7.8,8.4,18.8,3.7,4.3,7.8,18.1,15
20,,6.4,6.1,3.5,10.3,7.6,9.7,4.3,3,8,9.3,6.8
21,,10.8,5.9,4.6,13.9,7.7,7.4,4.8,5.1,9.8,7.5,13
22,,3.9,4.1,7.1,16.9,53.1,10.8,10.5,7.2,,23.7,4.7
23,1.7,6.1,8.1,5.3,5.3,46.9,17.2,10.5,8.4,,19.8,6.7
24,2.7,4.9,5.5,3.4,8.4,61.1,27.1,7.8,9.2,,12.8,9.7
25,3.5,6.5,4,5.7,7.7,64,25.2,6,7,,25.8,4.1
26,4.3,6.7,3.2,4.5,5.2,78.1,14.4,7.8,5.7,14.1,19.3,7.6
27,3.8,5,4.2,4,,66,5.3,8.2,7.9,19.8,13,8.8
28,2,4.1,3.9,5.8,,23.8,9.2,6.7,7.1,14.4,13.5,16.4
29,3.8,8.5,2.5,3.9,,18.1,9.5,8.7,7.7,15.9,15.6,18
30,2.4,,4.2,3.3,5.4,4.3,6,9,9.8,21.6,23.4,11.8
31,9.6,,5.4,,6.9,,11.2,6.9,,11.2,,11.5
 ,,,,,,,,,,,,
  ,,,,,,,,,,,,
