dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,,26.0,,,,12.0,6.0,,,,7.0, 
2,6.0,,,10.0,1.0,,,,11.0,,, 
3,,,11.0,,,,,20.0,,8.0,, 
4,,15.0,,,,6.0,11.0,,,,16.0,26.0 
5,,,,4.0,7.0,,,,6.0,8.0,, 
6,,,6.0,,,,,10.0,,,, 
7,,,,,,9.0,3.0,,,,,27.0 
8,14.0,,,6.0,1.0,,,,7.0,10.0,, 
9,,,,,,,,18.0,,,, 
10,,18.0,,,,5.0,11.0,,,,4.0,15.0 
11,13.0,,,3.0,1.0,,,,10.0,7.0,, 
12,,,4.0,,,,,19.0,,,, 
13,,25.0,,,,5.0,9.0,,,,8.0,15.0 
14,27.0,,,3.0,6.0,,,,7.0,10.0,, 
15,,,3.0,,,,,11.0,,,, 
16,,6.0,,,,6.0,,,,,34.0, 
17,27.0,,,2.0,8.0,,,,7.0,10.0,, 
18,,,5.0,,,,,,,,, 
19,,14.0,,,,5.0,9.0,,,,31.0, 
20,10.0,,,8.0,2.0,,,,13.0,11.0,, 
21,,,,,,,,16.0,,,, 
22,,12.0,6.0,,,7.0,6.0,,,,21.0,1.0 
23,2.0,,,11.0,3.0,,,,14.0,7.0,, 
24,,,1.0,,,,,17.0,,,, 
25,,6.0,,,,8.0,6.0,,,,6.0,23.0 
26,20.0,,,14.0,5.0,,,,10.0,11.0,, 
27,,,6.0,,,,,16.0,,,, 
28,,,,,,5.0,9.0,,,,69.0,5.0 
29,5.0,,,5.0,4.0,,,,5.0,11.0,, 
30,,,9.0,,,,,8.0,,,, 
31,,,,,,,14.0,,,,,6.0
 
 Quality Flag Definition 
0, Valid observation 
1, The data supplier marked the observation as suspect - but it is still valid 
2, The automated qa routine judged the observation questionable and invalid 
3, The automated qa routine judged the observation invalid  
4, The data supplier flagged the observation invalid  
5, The observation was flagged invalid manually  

Data extracted from mrgd database: 
November 14, 2018 at 00:05:03
  
