dom,mth1,mth2,mth3,mth4,mth5,mth6,mth7,mth8,mth9,mth10,mth11,mth12 
1,20,,4,,,,,14,,,, 
2,,6,,,,,8,,,,,19
3,,7,,11,4,,,,7,10,5, 
4,38,,7,,,,,,,,, 
5,,,,,,,4,,,,12,20
6,,7,,,7,,,,6,13,, 
7,34,,7,10,,,,6,,,, 
8,,,,,,1,6,,,,26,22
9,,19,,5,3,,,,8,,, 
10,10,,,,,,,4,,4,, 
11,,,,,,5,8,,,,,23
12,,3,,6,4,,,,14,8,, 
13,14,,7,,,,,11,,,, 
14,,,,,,6,6,,,,17,19
15,,7,,4,7,,,,4,7,, 
16,7,,3,,,,,12,,,, 
17,,,,,,6,8,,,,12,7
18,,8,,3,6,,,,9,11,, 
19,11,,4,,,,,6,,,, 
20,,,,,,8,11,,,,40,15
21,,,,6,1,,,,,8,, 
22,8,,9,,,,,11,,,, 
23,,2,,,,12,9,,7,,32,14
24,,6,,6,1,,,,8,11,, 
25,,,7,,,,,10,,,, 
26,6,,,,,8,6,,,,25,32
27,,3,,4,4,,,,8,4,, 
28,9,,5,,,,,10,,,, 
29,,,,,,8,8,,,,23,46
30,,,,7,7,,,,19,,, 
31,,,5,,,,,8,,,,
 ,,,,,,,,,,,,
  ,,,,,,,,,,,,
